P22,P2002,P3,P2,P1304,P2004,P28,P803,P1303,P27,P1301,P25,P23,P802,P0A,P2001,P801,P1,CAPITAL,CCAA,P14R,P26,P4,P804,P19,TAMUNI,P1302,ESTUDIOS,P2003
1,5,-4,-3,0,9,1,-3,5,1,0,1,42,-3,1,9,-4,-3,3,16,11,5,3,-4,4,1,0,6,4
2,7,-4,-1,0,9,1,-3,0,1,0,1,46,-3,1,9,-5,-2,3,16,12,5,3,-4,2,1,0,5,5
1,3,-3,-3,0,8,1,-3,0,1,0,2,79,-2,1,8,-3,-2,3,16,11,2,3,-4,5,1,0,6,3
2,3,-3,-3,0,8,1,-3,0,1,0,1,34,-3,1,7,-4,-3,3,16,12,5,2,-4,3,1,0,6,3
1,4,-4,-2,0,8,1,-3,0,1,0,1,58,-3,1,10,-5,-3,3,16,12,2,4,-4,3,3,0,3,2
2,5,-3,-3,0,6,1,-3,3,1,0,4,35,-3,1,10,-4,-4,3,16,5,5,3,-4,4,3,3,5,4
1,7,-4,-1,0,10,1,-5,0,1,0,1,35,-5,1,10,-5,-1,3,16,12,5,4,-5,1,3,0,5,5
1,5,-4,-4,0,6,1,-4,0,1,0,2,65,-4,1,9,-4,-4,3,16,97,5,3,-4,5,3,0,5,2
1,6,-4,-1,0,10,1,-4,0,2,0,1,33,-4,1,10,-5,-2,3,16,97,1,3,-5,3,3,0,6,4
2,4,-4,-2,6,6,1,-4,6,1,0,1,41,-4,1,8,-4,-2,2,7,2,2,3,-4,5,5,8,4,3
2,4,-5,-4,5,4,1,-4,0,1,5,7,57,-4,1,5,-4,-4,2,7,97,6,4,-4,5,5,5,2,1
1,1,-4,-1,7,6,1,-5,0,2,8,4,25,-4,1,8,-2,-2,2,7,18,4,4,-4,8,5,0,5,1
1,2,-3,-3,7,7,1,-4,0,2,4,1,23,-4,1,9,-4,-4,2,7,4,5,2,-3,6,5,0,6,1
1,2,-4,-4,3,5,1,-3,6,1,2,1,50,-3,1,8,-4,-3,2,7,2,2,5,-3,4,5,7,4,6
2,3,-5,-1,0,9,1,-4,0,2,0,1,41,-2,1,10,-4,-2,2,7,2,2,4,-4,3,5,10,4,1
1,3,-2,-1,0,8,1,-3,3,1,0,1,43,-2,1,8,-4,-2,2,7,2,4,2,-3,2,5,8,6,1
1,4,-3,-3,5,5,1,-5,2,1,2,1,42,-4,1,8,-4,-3,2,7,4,4,2,-3,4,5,4,4,2
2,8,-3,-2,0,10,2,-4,5,1,0,1,39,-5,1,10,-5,-4,2,7,3,4,3,-5,1,5,0,6,6
1,3,-3,-1,5,6,1,-4,0,1,0,1,46,-4,1,8,-4,-2,2,7,4,5,3,-3,4,5,0,6,1
1,5,-3,-1,2,6,1,-3,6,1,0,1,37,-3,2,8,-5,-1,2,7,3,4,3,-4,4,5,4,6,3
2,5,-3,-1,0,7,1,-3,0,2,0,2,71,-2,1,10,-4,-2,3,7,2,2,3,-4,3,2,10,3,4
1,6,-4,-1,0,10,1,-2,6,2,0,1,63,-3,1,10,-4,-2,3,7,7,5,4,-4,3,2,5,2,3
1,5,-5,-3,7,7,1,-3,7,1,2,1,48,-3,1,8,-3,-3,3,7,2,5,3,-3,4,2,8,3,3
1,4,-4,-4,0,8,1,-4,0,1,0,4,32,-4,1,9,-4,-4,3,7,2,5,4,-4,5,2,5,5,1
1,5,-3,-4,0,5,1,-3,0,2,5,2,76,-3,1,7,-3,-4,3,7,2,1,3,-3,4,2,7,2,4
2,5,-3,-1,0,10,1,-5,0,2,0,1,36,-2,1,10,-4,-3,3,7,1,2,3,-5,5,2,10,6,10
2,5,-5,-1,0,7,1,-3,0,2,0,1,60,-3,1,8,-3,-2,3,7,2,2,3,-3,5,2,10,3,4
2,3,-5,-1,5,5,2,-4,0,2,0,1,29,-4,1,1,-4,-1,3,7,97,5,3,-4,4,2,0,5,1
2,3,-4,-4,9,10,1,-5,0,1,7,1,48,-4,1,9,-2,-3,2,7,4,1,4,-2,7,5,5,6,1
1,6,-4,-2,0,8,2,-4,3,1,0,1,33,-4,1,9,-4,-3,2,7,5,5,4,-3,3,5,3,6,3
2,1,-5,-4,5,7,1,-3,0,1,0,1,49,-3,1,10,-3,-4,2,7,97,1,4,-3,5,5,0,4,4
2,1,-3,-2,0,9,1,-4,1,1,0,1,56,-2,1,10,-5,-3,2,7,2,2,3,-4,4,5,10,3,1
2,5,-3,-2,5,6,1,-4,2,2,8,1,35,-3,2,6,-2,-3,2,7,97,2,3,-2,6,5,6,6,1
1,3,-2,-1,5,7,1,-4,0,1,3,4,52,-4,1,6,-3,-2,2,7,1,2,3,-3,6,5,0,6,1
1,3,-4,-1,6,7,1,-5,0,1,7,2,70,-3,1,7,-3,-1,2,7,1,2,3,-2,7,5,4,4,1
1,2,-4,-4,5,5,2,-5,7,2,0,1,31,-2,2,9,-4,-3,2,7,3,2,3,-2,3,5,8,4,1
2,1,-5,-4,9,8,1,-5,0,1,4,3,71,-5,1,6,-3,-3,2,7,4,1,3,-2,7,5,3,3,1
1,4,-5,-2,0,9,1,-2,9,1,0,1,52,-2,1,10,-5,-3,2,7,2,2,3,-5,4,5,10,5,2
2,4,-3,-2,0,9,1,-3,4,1,0,1,40,-3,1,9,-5,-2,2,7,3,1,3,-5,2,5,3,6,2
2,5,-5,-2,7,8,1,-5,0,1,0,4,29,-5,1,6,-5,-4,2,7,4,2,5,-2,5,5,0,2,3
1,7,-3,-1,3,8,2,-4,7,1,0,1,40,-4,1,8,-5,-2,2,7,5,5,3,-5,3,5,7,6,2
1,3,-5,-1,3,8,1,-4,6,1,0,6,21,-3,1,9,-5,-2,2,7,2,5,3,-5,4,5,10,6,1
1,3,-4,-2,3,6,1,-5,0,2,7,1,51,-5,1,7,-2,-2,3,7,1,2,3,-2,7,3,0,6,1
1,3,-5,-2,4,8,1,-3,0,2,0,1,37,-3,1,8,-3,-4,3,7,18,2,5,-3,4,3,0,2,3
1,3,-4,-3,5,6,1,-3,0,2,7,1,49,-4,1,10,-3,-3,3,7,18,2,4,-3,9,1,0,3,1
1,5,-5,-2,5,6,1,-5,0,2,9,1,56,-4,1,7,-4,-3,3,7,1,2,3,-3,10,1,0,5,1
2,4,-3,-2,0,7,1,-3,6,1,0,2,69,-2,1,9,-4,-3,3,7,2,2,3,-4,4,1,10,2,3
1,4,-3,-2,2,8,1,-4,2,2,0,1,19,-3,1,8,-3,-2,3,7,2,5,3,-4,3,1,10,2,1
1,3,-5,-3,5,7,1,-3,5,2,0,2,46,-3,1,8,-5,-3,3,7,2,1,5,-3,3,2,10,2,2
2,7,-4,-3,4,4,1,-3,5,1,0,2,80,-2,1,3,-4,-3,3,7,2,1,4,-3,7,2,10,1,9
1,4,-3,-3,3,6,1,-4,1,1,1,2,65,-3,1,8,-3,-3,3,7,2,2,2,-3,5,2,4,3,2
2,2,-5,-1,0,7,1,-3,0,2,0,7,63,-2,1,10,-5,-3,3,7,2,2,5,-3,1,2,10,1,1
2,4,-3,-1,0,7,1,-5,0,1,0,1,49,-2,1,8,-4,-2,3,7,97,2,3,-5,4,1,10,6,2
